search_strategy,sample_method,iters,desired_num_samples,num_samples,cost,time,q_0_0,q_0_1,q_0_2,q_0_3,q_0_4,q_0_5,q_1_0,q_1_1,q_1_2,q_1_3,q_1_4,q_1_5,q_2_0,q_2_1,q_2_2,q_2_3,q_2_4,q_2_5,q_3_0,q_3_1,q_3_2,q_3_3,q_3_4,q_3_5,q_4_0,q_4_1,q_4_2,q_4_3,q_4_4,q_4_5,q_5_0,q_5_1,q_5_2,q_5_3,q_5_4,q_5_5,q_6_0,q_6_1,q_6_2,q_6_3,q_6_4,q_6_5,q_7_0,q_7_1,q_7_2,q_7_3,q_7_4,q_7_5,q_8_0,q_8_1,q_8_2,q_8_3,q_8_4,q_8_5,q_9_0,q_9_1,q_9_2,q_9_3,q_9_4,q_9_5,q_10_0,q_10_1,q_10_2,q_10_3,q_10_4,q_10_5,q_11_0,q_11_1,q_11_2,q_11_3,q_11_4,q_11_5,q_12_0,q_12_1,q_12_2,q_12_3,q_12_4,q_12_5,q_13_0,q_13_1,q_13_2,q_13_3,q_13_4,q_13_5,q_14_0,q_14_1,q_14_2,q_14_3,q_14_4,q_14_5,q_15_0,q_15_1,q_15_2,q_15_3,q_15_4,q_15_5,q_16_0,q_16_1,q_16_2,q_16_3,q_16_4,q_16_5,q_17_0,q_17_1,q_17_2,q_17_3,q_17_4,q_17_5,q_18_0,q_18_1,q_18_2,q_18_3,q_18_4,q_18_5,q_19_0,q_19_1,q_19_2,q_19_3,q_19_4,q_19_5
2,1,30,1,nan,5.211418469353783,16.62708568572998,-0.5549307573266049,1.6493029263049908,-0.7564988193105422,-1.7555541956570313,0.5269047187492013,0.08394622686292201,-0.5757300873012478,1.5839927941810445,-0.7384487835224256,-1.6794286495997237,0.6377502763088838,-0.03204865041690436,-0.5553260831364573,1.567558737717873,-0.6652852422279154,-1.7677675141896496,0.6764056092186173,-0.19226388297104036,-0.5356906744158418,1.5807937622769903,-0.6784651031436444,-1.7594009631281895,0.6612927118341438,-0.18741551397895156,-0.3092706842060561,1.7352516550881167,-1.0784244286708509,-0.8763963806616455,0.43650487280561423,0.4711431809500584,-0.27737685669962725,1.7448321250626877,-1.0854515702722725,-0.8272316941759815,0.4201440082230469,0.4448368239729737,-0.24489328602204052,1.753523117596158,-1.0917103900253387,-0.7738262738738289,0.4041439179466408,0.41454703937785764,-0.20730608120588934,1.8201866165879175,-1.0663137195410282,-0.672561193106692,0.23419279299533333,0.07724714474351668,-0.2082126086439774,1.842881811392776,-1.0366790004398752,-0.9987808695546699,0.1795207291569939,0.29282368398669684,-0.3548805778376966,1.732111789268284,-0.7691200125514284,-2.140721615825089,0.4698825723702516,0.6668305975248529,-0.3551056099283977,1.6509600807995175,-0.6399822697649356,-2.298351528583821,0.6170291839229006,0.6243586120357921,-0.3007127012968265,1.6510365052511593,-0.5777353560426448,-2.467295552478075,0.6235471338009299,0.6299968382104832,-0.2790297422679897,1.6586834233830892,-0.5846753421181914,-2.478611508078361,0.6122864363744256,0.6565663064936212,-0.19967460065665418,1.714018589346571,-0.5936253601084842,-2.5736585402247503,0.4886949415402083,0.4927360294675388,-0.014255019224526096,1.6032892130154626,-0.347012791778321,-3.0344442668371108,0.6910002470548232,0.2920565240869961,0.0952152685980277,1.5751807385717012,-0.30045821496185243,-3.083928697766049,0.7303597699201648,-0.12985246169785108,0.11489808393935225,1.5725105313288066,-0.29779624578806696,-3.0992017189552263,0.7294100204113458,-0.10165331760236618,0.13449189515865223,1.5693463990124592,-0.2946325364946798,-3.1144533228779068,0.7287581337472933,-0.07353777756553836,0.1539823727094521,1.5656933738020296,-0.29096740157630263,-3.1296546372387657,0.728405986847379,-0.04554278463511775,0.10542947680631991,1.5955769468619687,-0.3347981998897507,-2.8848274636647737,0.6750849472283507,-0.26444373738328253
2,1,50,1,nan,2.633643238107308,27.461898803710938,-0.16227303826039416,1.6034240781595732,-0.3388572813564237,3.030272864705483,0.660228737579655,0.2365513913052519,0.20645410332580275,1.619034129132189,-0.596493571795174,2.1617378567134784,0.598350740926686,-0.18061572661852812,0.22831281724144595,1.6133848136947806,-0.5911350971157732,2.157831785490187,0.6136999918499962,-0.16199919679867922,0.2499517494635932,1.607205079955587,-0.5852321474644637,2.154546250202524,0.6289359982948858,-0.14407863112396366,0.2713542541397695,1.6005098458847766,-0.5787879729469543,2.1518428777314855,0.6440463491089977,-0.12683039210730462,0.2616881582647461,1.6660936841213367,-0.6300572172560224,2.177256392939472,0.5418556471908093,-0.17738587881476958,0.24550205850198037,1.6714623518626124,-0.5835732315416076,2.324146313018831,0.5413662140905032,-0.17493878167044832,0.2961072908826023,1.6530433209390614,-0.6024990581484557,2.402513857751149,0.6147021859037068,-0.6244184473541696,0.31779192891124447,1.6449701860028998,-0.5951295517325521,2.393273391137384,0.6269210122303895,-0.5997984150014933,0.34245653632986983,1.673223973885084,-0.6531486105117561,2.3226968266689147,0.5818253376750209,-0.6460556135591894,0.36449973348545095,1.6638077611521616,-0.6447760330351211,2.3139600970040015,0.5948878937330169,-0.6216746823622498,0.3900924414012087,1.6465471027085339,-0.6312644249051691,2.3201503453996803,0.6281190521693231,-0.6499830970381534,0.3911040362282025,1.6443088449542316,-0.5976817451881198,2.4160171842656277,0.6397634413017103,-0.6883265662956176,0.4512129605484356,1.5197539233059336,-0.4970555708748843,2.1485444449195916,0.7731786195591479,0.0009477776408552858,0.4696121608409218,1.5088101742632452,-0.4854111003966466,2.150036881029032,0.7867134610412881,0.012325776685518793,0.4876741028958443,1.4975315632792734,-0.4732689544762452,2.151819974024025,0.8000897426872958,0.023176350664161346,0.4894221790172893,1.559975501876257,-0.5289842291788172,2.136872452372878,0.7026250478868492,0.015386045708202355,0.5079881513063007,1.5479277562678841,-0.5167075628612285,2.1366894043654514,0.7161914751348591,0.0282012143875111,0.5261781404737784,1.5355614670753837,-0.5039361346146114,2.1369317169783364,0.7295823868262373,0.040336151467235334,0.5329021379265301,1.6360271511631614,-0.6452675895757043,2.0464842378175963,0.5567718990181207,-0.13240980941991273
2,1,100,1,nan,1.9131840176175101,47.78298783302307,-0.11889845174344832,1.5797433479387137,-0.3128115232686248,2.9297418590774114,0.7027307969331018,0.2415680195102776,-0.07020438808279668,1.5506990285601316,-0.2822359815216844,2.923361753109431,0.752895557899617,0.0888643196478176,0.15519019409431967,1.6931278382718966,-0.6026064579688399,2.3858205989680856,0.4864737849700068,-0.2937456402393408,0.17806889796887906,1.6885924707643631,-0.598663944918695,2.368396933189546,0.5000895643104524,-0.2619565019306106,0.20076076219111116,1.6834603481272965,-0.5941760045453868,2.3523629265548855,0.5137974250960147,-0.23160321598286113,0.22324500428879485,1.6777453050461653,-0.5891449241817814,2.337638236073001,0.5275658223227286,-0.20261844723140318,0.28052101118745293,1.6547016192542199,-0.6106639282553425,2.3236276872207027,0.5875381754185404,-0.46395219875233945,0.2961072908826023,1.6530433209390614,-0.6024990581484557,2.402513857751149,0.6147021859037068,-0.6244184473541696,0.31779192891124447,1.6449701860028998,-0.5951295517325521,2.393273391137384,0.6269210122303895,-0.5997984150014933,0.34245653632986983,1.673223973885084,-0.6531486105117561,2.3226968266689147,0.5818253376750209,-0.6460556135591894,0.36449973348545095,1.6638077611521616,-0.6447760330351211,2.3139600970040015,0.5948878937330169,-0.6216746823622498,0.38617833058682693,1.6539067442848345,-0.6358648349344915,2.30614468750466,0.6078601015313706,-0.5984041722137377,0.4074814373600033,1.6435446006487902,-0.6264202215283938,2.2991968097662814,0.6207316240397782,-0.5762049829649494,0.4512129605484356,1.5197539233059336,-0.4970555708748843,2.1485444449195916,0.7731786195591479,0.0009477776408552858,0.4696121608409218,1.5088101742632452,-0.4854111003966466,2.150036881029032,0.7867134610412881,0.012325776685518793,0.4876741028958443,1.4975315632792734,-0.4732689544762452,2.151819974024025,0.8000897426872958,0.023176350664161346,0.4894221790172893,1.559975501876257,-0.5289842291788172,2.136872452372878,0.7026250478868492,0.015386045708202355,0.5079881513063007,1.5479277562678841,-0.5167075628612285,2.1366894043654514,0.7161914751348591,0.0282012143875111,0.5656887103445456,1.5374650341205858,-0.5935930100648577,1.9904289482997672,0.7159796615753058,-0.08253374933273902,0.5329021379265301,1.6360271511631614,-0.6452675895757043,2.0464842378175963,0.5567718990181207,-0.13240980941991273
2,1,150,1,nan,1.4784371488525354,68.24066305160522,-0.535385783187732,1.6528604154296853,-0.6867536454113936,-2.043026556880737,0.5339932352577997,0.30385662790773094,-0.519215628365776,1.622972220943106,-0.623528993046246,-2.1118026572814395,0.5905756340725398,0.20763741371992664,-0.5196425889359404,1.5783995180721213,-0.5842274011453261,-2.1824371076457902,0.678874995410248,0.3481704693605561,-0.5003776920126154,1.5909331807895264,-0.5965604014283059,-2.1838034195251375,0.6657734868188339,0.3633393131493222,-0.4806982443877041,1.6031300747978752,-0.6083880373479547,-2.185741643013508,0.6524981252051913,0.3793551995720108,-0.46060645485373647,1.6149688898410213,-0.6197044700074077,-2.188292609338445,0.6390471211409492,0.39624750566876593,-0.42532448030819986,1.6994232847253137,-0.7420091177956478,-2.1154579011299663,0.5159426977131417,0.5923206523746578,-0.40229904649948944,1.7108289410321698,-0.7516081408712174,-2.122609379487443,0.5008045112430195,0.6156606234151076,-0.37881349832866507,1.7217361080532927,-0.760647528482159,-2.1309924053492177,0.4854463445019101,0.6404648663626887,-0.3766997429772833,1.6413779698764965,-0.6312244307620416,-2.2921154542648434,0.630182765758825,0.6025416886846683,-0.32849621071941604,1.6581948077011315,-0.6032790331578584,-2.422394218707512,0.6126014968175695,0.6489774142183238,-0.282080786756133,1.674273271819597,-0.5865462380531055,-2.553409517157394,0.6039400789115366,0.7549549304482498,-0.19879793476206062,1.6568181200307484,-0.49298686090421073,-2.7800799398778064,0.6368415975700688,0.7109522866628233,-0.05334052077496658,1.6540641628147994,-0.4166906076231296,-3.0311129896811773,0.613030542494961,0.4346314938202885,-0.014255019224526096,1.6032892130154626,-0.347012791778321,-3.0344442668371108,0.6910002470548232,0.2920565240869961,0.07583835481508625,1.5769673742121197,-0.3033283774832851,-3.1268276354975915,0.726063717085396,0.09421504175220945,0.11489808393935225,1.5725105313288066,-0.29779624578806696,-3.0992017189552263,0.7294100204113458,-0.10165331760236618,0.13449189515865223,1.5693463990124592,-0.2946325364946798,-3.1144533228779068,0.7287581337472933,-0.07353777756553836,0.1539823727094521,1.5656933738020296,-0.29096740157630263,-3.1296546372387657,0.728405986847379,-0.04554278463511775,0.20824636495923504,1.5849296065249157,-0.31785991668952196,-3.127722476334076,0.6955301108801759,-0.26943148641386994
0,1,180,nan,nan,2.469406926942068,10.420461893081665,-0.47117091704733616,1.6222645559809603,-0.5190223611470666,-2.4502447228923265,0.6061526916983127,0.35155087032548477,-0.45162361249667826,1.6339471446509974,-0.529979657312444,-2.4618196350613473,0.5956640840614633,0.3762570989878286,-0.43169851343396587,1.64523875909768,-0.5404302749166447,-2.4743996182954673,0.5852205443257251,0.40218660042433707,-0.41140083732087923,1.6561190203226706,-0.5503702743150058,-2.4880318411332114,0.5748362906528323,0.4293766989397534,-0.3907372255465217,1.6665671196607168,-0.5597957347356797,-2.5027635291182633,0.5645277101799604,0.45786430484626794,-0.3697158099407498,1.676561949004572,-0.568702786003886,-2.51864147889169,0.5543134532336826,0.4876854621910512,-0.36731241716212826,1.6938889042163012,-0.613469376219768,-2.567192113380684,0.5782815564417735,0.8477782171594591,-0.3453256118826418,1.7034946273804317,-0.621731537534473,-2.5833081775733078,0.5690037833726909,0.8792776379318517,-0.322985463927229,1.7125844800550172,-0.6294586026924214,-2.600522642800387,0.5598581688039768,0.9120571194032641,-0.3003062103618607,1.7211351820832985,-0.6366465144981674,-2.618862834946663,0.5508664013732079,0.9461306749620222,-0.23817133051088937,1.645675540501151,-0.4802740733508797,-2.8295184601754397,0.6930906920556698,0.8776936427064858,-0.2170235765251118,1.65163253125499,-0.4857431843270046,-2.8438050154966454,0.6877204377794673,0.9070347340977452,-0.19567677219698806,1.6570577577686236,-0.4906917754557911,-2.85857517150341,0.682557893348984,0.9369627576780817,-0.12266943354742901,1.6725856054272812,-0.4731354431836361,-2.9603407948122418,0.6191714139903975,0.7635748268278671,-0.028554730390479833,1.628951385003755,-0.3831884049242156,-2.922931207400489,0.6349957068930833,0.11130831167057194,-0.007721418125639451,1.6294228669840127,-0.38363178881541793,-2.9426128913330194,0.6309299625870762,0.143969072877949,0.013118598065327353,1.629352710318454,-0.3835658274892033,-2.962614595665489,0.627215431377836,0.1769352596447741,0.03394722649848261,1.628741051847137,-0.3829905336102737,-2.98289423111954,0.6238624493276643,0.21015594822207984,0.05474643471089967,1.6275890827465265,-0.38190601743259034,-3.003407109656331,0.620880339762285,0.24357773106931624,0.20083355504640915,1.6249636513223154,-0.3676679332686539,-3.113422686502853,0.6210721772210113,-0.25792321613828467
0,1,480,nan,nan,2.029383251085877,26.80570936203003,-0.4956922781070693,1.6301753212805026,-0.5648959923035166,-2.3800006614606213,0.5962600789737478,0.4477056951038717,-0.47593860890543094,1.6425279531013028,-0.5763538052264492,-2.3901085336700425,0.5850440217670616,0.47138281953307953,-0.4557743607146981,1.6545044360693337,-0.5873025735636981,-2.4012526838324058,0.5738160249656883,0.4963400987331466,-0.4352035055485025,1.6660822647141704,-0.5977374060705323,-2.4134924394927313,0.5625882922601392,0.5226265170737625,-0.41423155267277734,1.6772382629566878,-0.6076534304051293,-2.4268890555501255,0.55137547624198,0.5502923857270143,-0.39286563835816335,1.6879487204176018,-0.6170458300893742,-2.4415054387892767,0.5401948516006415,0.5793891041273357,-0.3733788835068408,1.7121678797067654,-0.6531936779362293,-2.509734184695925,0.5428231440457976,0.8627624626770455,-0.35084050064883704,1.7220980655947602,-0.6615173744856349,-2.5270531134705454,0.5326526572682949,0.8957604996170943,-0.32792412565093076,1.7314971267871055,-0.669297698268835,-2.545694101229998,0.5225997918001931,0.9302691255973338,-0.3046448298321584,1.7403390581043716,-0.6765300507773042,-2.565704049723242,0.512691489751964,0.966321078950472,-0.36619258649298325,1.6419680755048578,-0.648375166603639,-2.267102131824567,0.6349578512966421,0.6508147414761525,-0.34431908576709813,1.6513039884755485,-0.6568944224692692,-2.2722743227842424,0.6214464306054749,0.6719502338630438,-0.3220970252974858,1.6601436931409066,-0.6648689013414129,-2.278205579905272,0.6078051761558331,0.6940237953485859,-0.2971628949919622,1.6520408383888043,-0.63732787853922,-2.2446036970792083,0.5887632391754565,0.45964177540202517,-0.24407679353622436,1.627385340078176,-0.5429139826261529,-2.450314685860161,0.6394291795870249,0.4933329558323973,-0.22263046710380457,1.6334706014713816,-0.5486022975572258,-2.460608700072592,0.6277223255228412,0.5185383374658199,-0.16854143420313444,1.6554064296729503,-0.5370291952415545,-2.507046395823913,0.5730508004609925,0.37931213692701865,-0.09891749248689218,1.6909151815330858,-0.5392865520584471,-2.604726578396636,0.4980401907947999,0.2980178755390676,0.05676926615264107,1.6121018348050182,-0.36160649924953225,-2.9343897474630483,0.6427654748259152,0.05399472848373152,0.15922443868502653,1.6163446315988559,-0.35530377211280184,-3.007816694683423,0.6383018150110348,-0.26963972829722693
0,1,1000,nan,nan,1.3193499681760492,54.66648483276367,-0.48185544353994825,1.6431455309202216,-0.5643586223113828,-2.3016045373184038,0.5548988868557803,0.1712889326242871,-0.5249351495450753,1.5604397818337121,-0.5364285538727,-2.1950275559795185,0.6938841365624852,0.18358234453089137,-0.5062862918796426,1.5729521969427018,-0.5489990941349716,-2.1966264669283806,0.6809318612582472,0.19819706267705595,-0.4872436538010079,1.5851380491592808,-0.5610710685893685,-2.1987776984452427,0.6678252365769922,0.21362695989222877,-0.46780887829524553,1.5969782147182157,-0.5726394946607649,-2.201519651486124,0.6545627368421653,0.22989993827660044,-0.4479848609898626,1.6084527575047005,-0.5836993039249081,-2.204893238336746,0.6411442552423886,0.24704571797905922,-0.4357608017826058,1.6225316948516568,-0.6147174921889254,-2.233363199238338,0.6358632991661821,0.44107377760571564,-0.414627073965619,1.648778438389103,-0.650480087118221,-2.278631049717944,0.6223059770490731,0.6592783850223933,-0.3930803196370148,1.6593800449201719,-0.6600666674175075,-2.2847629863533148,0.6092390156498193,0.6810772901893279,-0.3711416004520314,1.6695196724112615,-0.6691156858518821,-2.2917409039348473,0.5960467394805808,0.7039381875620047,-0.3380915020926694,1.6442993604138334,-0.5975092794214447,-2.421409222984828,0.6449979698819368,0.7029073037338031,-0.3165291233498401,1.6528897810069536,-0.6053536253850602,-2.4302452601034235,0.6333069546508783,0.7273496926568428,-0.29465785805904676,1.660974558853377,-0.6126615115989096,-2.439893484875958,0.6215955009179822,0.7527592098476227,-0.26596879165012416,1.6610534996151334,-0.5970198666908191,-2.4312985009261716,0.5961257449269443,0.6036916496729096,-0.19672881005027246,1.6480722673830228,-0.5149014891098602,-2.597085432745659,0.610511790185906,0.49713567598741876,-0.1439823398930141,1.6711796624985502,-0.5151634517300794,-2.6601670161265547,0.559731572479581,0.43088777181626303,-0.08225309281582167,1.6993438564807601,-0.5224760180502313,-2.7625042782039824,0.5002941134493184,0.40703704461942136,0.036947984006636674,1.6282270957203226,-0.3814608228634149,-2.9909511953741768,0.6250402974866089,0.21124537605762825,0.1167098412083947,1.6083236029827872,-0.3454957054748804,-3.0491793781694874,0.651715797097963,-0.022875365091458988,0.19774665846695846,1.6243417222984764,-0.366595757727016,-3.1054376436066216,0.6223648900448523,-0.2589306808411432
0,1,2250,nan,nan,1.2013648962914463,122.5360836982727,-0.10601344923835138,1.6046042032522951,-0.34606127121835395,2.8775600800626004,0.6595923102020635,0.27962840919452114,-0.039696636557332604,1.606240323102846,-0.35943057082256447,2.854188522800111,0.6522414864196703,0.043604898374779176,-0.0014409566802000737,1.634153291829886,-0.40125263668842726,2.8931244450454243,0.6109999896233432,-0.19657937288382715,0.10929106915701092,1.6685610387251077,-0.499302944233472,2.7295112436725755,0.5652962408444231,-0.4736925479657822,0.15985642436052896,1.6425128059724392,-0.49007841227630333,2.6721732393600632,0.6227307896958216,-0.5286935831343987,0.1971231909335533,1.6483337373501983,-0.515674793390748,2.5954775847179663,0.6099613754161441,-0.4970527034583602,0.24993226814567895,1.6416555692618207,-0.5456120740711738,2.5210924488751054,0.6338316686660685,-0.5990968263838148,0.28929185596060886,1.64801232240307,-0.5838833922323894,2.480577877896084,0.6445328472763805,-0.7413651914822939,0.31763169668062213,1.655678884030407,-0.6116493972592201,2.4211261971365707,0.6283743720611038,-0.7296494492611845,0.3392744627733326,1.647039690378175,-0.6037887095894359,2.4122801812711803,0.640194468164807,-0.7051507132325883,0.3666072882346692,1.6529323620862624,-0.630401844858524,2.3520707828486938,0.6256332606098862,-0.6930584980880657,0.3880189821754837,1.6430649801819297,-0.6213976512150952,2.344885826171672,0.6380454015784286,-0.6703152783177297,0.4142026364468343,1.647284412502929,-0.6468833578646871,2.284325885474073,0.6249377056311404,-0.6583588774799364,0.4372175727607426,1.6243392252240025,-0.6207350258282207,2.2219098154049672,0.6323997035127414,-0.44069021811421855,0.4576311693750117,1.6129730685808281,-0.6099929232945898,2.21820821356022,0.6457340370709588,-0.42240795870667797,0.4776424446419908,1.6012253949638755,-0.5987347525943458,2.21517058489224,0.6589102698690811,-0.4050380015797251,0.5054002931750565,1.5983074469479923,-0.6203026809996937,2.1502378111592937,0.6544340076166392,-0.38742990807599215,0.5248911855430304,1.5855900502521965,-0.6078991708220198,2.149421181930072,0.6677914205488306,-0.37259643263046494,0.5511341124504939,1.5812212988142795,-0.6284520575995529,2.0861369016751574,0.6645576941101182,-0.3572636650223074,0.5232519350385024,1.6506215048649104,-0.6507881128139079,2.125243507800656,0.5390217495910049,-0.2807122936834432
